URI,Album,Song Name,Artist,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
3KkXRkHbMCARz0aVfEt68P,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,1,2,80,False,0.76,0.478,2,-5.574,1,0.0467,0.552,0.0,0.0703,0.913,89.908,158040,4
4rHZZAmHpZrA3iH5zx8frV,The 20/20 Experience (Deluxe Version),Mirrors,Justin Timberlake,1,9,80,False,0.574,0.512,5,-6.664,0,0.0503,0.234,0.0,0.0946,0.512,76.899,484147,4
5fVZC9GiM4e8vu99W0Xf6J,How To Save A Life,How to Save a Life,The Fray,1,3,79,False,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,262533,4
2tznHmp70DxMyr2XhWLOW0,Melophobia,Cigarette Daydreams,Cage The Elephant,1,10,80,False,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,208760,4
7e89621JPkKaeDSTQ3avtg,Second Helping (Expanded Edition),Sweet Home Alabama,Lynyrd Skynyrd,1,1,79,False,0.596,0.606,7,-12.145,1,0.0255,0.181,0.000327,0.0863,0.886,97.785,283800,4
5hnyJvgoWiQUYZttV4wXy6,Eyes Open,Chasing Cars,Snow Patrol,1,3,79,False,0.561,0.595,9,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.006,267960,4
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema; Selena Gomez,1,1,79,False,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,239318,4
60nZcImufyMA1MKQY3dcCH,G I R L,"Happy - From ""Despicable Me 2""",Pharrell Williams,1,5,79,False,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,232720,4
4B0JvthVoAAuygILe3n4Bs,Purpose (Deluxe),What Do You Mean?,Justin Bieber,1,3,79,False,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,205680,4
2AT8iROs4FQueDv2c8q2KE,AM,R U Mine?,Arctic Monkeys,1,2,79,False,0.288,0.758,6,-5.692,0,0.0371,0.00616,0.0,0.303,0.619,97.094,201726,4
76hfruVvmfQbw0eYn1nmeC,DNCE,Cake By The Ocean,DNCE,1,3,79,True,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,219147,4
7j31rVgGX9Q2blT92VBEA0,The Black Parade,Teenagers,My Chemical Romance,1,11,79,False,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,161920,4
57iDDD9N9tTWe75x6qhStw,Urban Hymns (Remastered 2016),Bitter Sweet Symphony - Remastered 2016,The Verve,1,1,79,False,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,357267,4
